ticker,call_date,maec_folder,text_path,reporting_period_end_q,reporting_period_end_a,reporting_period_end,q_consensus_statpers,q_consensus_n_analysts,q_consensus_eps_mean,q_consensus_eps_median,q_consensus_eps_stdev,q_consensus_eps_high,q_consensus_eps_low,q_actual_eps,q_actual_announcement_date,a_consensus_statpers,a_consensus_n_analysts,a_consensus_eps_mean,a_consensus_eps_median,a_consensus_eps_stdev,a_consensus_eps_high,a_consensus_eps_low,a_actual_eps,a_actual_announcement_date,reporting_fy_int,current_fy_label,next_fy_label,cur_guidance_ebitda,cur_guidance_eps_excl,cur_guidance_eps_excl_high,cur_guidance_eps_excl_low,cur_guidance_revenue,cur_guidance_revenue_high,cur_guidance_revenue_low,next_guidance_ebitda,next_guidance_eps_excl,next_guidance_eps_excl_high,next_guidance_eps_excl_low,next_guidance_revenue,next_guidance_revenue_high,next_guidance_revenue_low,guidance_eps_midpoint,qtr_surprise_vs_consensus,qtr_beat_consensus,ann_surprise_vs_consensus,ann_beat_consensus,ann_surprise_vs_guidance,ann_beat_guidance_midpoint,annual_actual_in_guidance_range
A,2016-05-16,20160516_A,raw_data/transcripts/maec/MAEC_Dataset/20160516_A/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
A,2016-08-17,20160817_A,raw_data/transcripts/maec/MAEC_Dataset/20160817_A/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
A,2016-11-15,20161115_A,raw_data/transcripts/maec/MAEC_Dataset/20161115_A/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
A,2017-02-14,20170214_A,raw_data/transcripts/maec/MAEC_Dataset/20170214_A/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAN,2016-02-18,20160218_AAN,raw_data/transcripts/maec/MAEC_Dataset/20160218_AAN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAN,2016-04-29,20160429_AAN,raw_data/transcripts/maec/MAEC_Dataset/20160429_AAN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAN,2016-07-29,20160729_AAN,raw_data/transcripts/maec/MAEC_Dataset/20160729_AAN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAN,2017-07-28,20170728_AAN,raw_data/transcripts/maec/MAEC_Dataset/20170728_AAN/text.txt,,,,,,,,,,,,,,,,,,,,,,,FY<NA>,FY<NA>,,,,,,,,,,,,,,,,,,,,,,
AAOI,2016-08-04,20160804_AAOI,raw_data/transcripts/maec/MAEC_Dataset/20160804_AAOI/text.txt,2016-06-30,2015-12-31,2016-06-30,2016-07-14,6.0,0.06,0.06,0.01,0.08,0.05,0.16,2016-08-04,2016-02-18,6.0,1.11,1.11,0.01,1.13,1.1,1.03,2016-02-24,2015.0,FY2015,FY2016,,,,,,,,,,,,,,,,0.1,True,-0.08000000000000007,False,,,
AAOI,2017-02-23,20170223_AAOI,raw_data/transcripts/maec/MAEC_Dataset/20170223_AAOI/text.txt,2016-12-31,2016-12-31,2016-12-31,2017-02-16,6.0,0.75,0.79,0.11,0.8,0.52,0.84,2017-02-23,2017-02-16,6.0,1.28,1.31,0.09,1.33,1.1,1.39,2017-02-23,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,0.08999999999999997,True,0.10999999999999988,True,,,
AAON,2017-05-04,20170504_AAON,raw_data/transcripts/maec/MAEC_Dataset/20170504_AAON/text.txt,2017-03-31,2016-12-31,2017-03-31,2017-04-20,3.0,0.14,0.14,0.0,0.14,0.13,0.1267,2017-05-04,2017-02-16,3.0,0.68,0.68,0.01,0.69,0.67,0.6667,2017-02-23,2016.0,FY2016,FY2017,,,,,,,,,,,,,,,,-0.013300000000000006,False,-0.01330000000000009,False,,,
